,Attained_Age,Observation_Year,Death_Claim_Amount,Amount_Exposed,qx
393,67,2013,205708022,49317847206.228546,0.0041710665337805
394,67,2014,241815898,66076828768.49042,0.0036596171836157034
395,67,2015,293640236,77087347312.6496,0.0038091884885992867
396,67,2016,317615633,79814789208.66931,0.003979408279455824
397,67,2017,328462934,83502940775.56003,0.003933549297177996
398,67,2018,380781382,94057135296.94754,0.004048405055053357
399,67,2019,410169008,103631871071.73557,0.003957942703901146
400,68,2012,234268151,41479764980.133545,0.005647769487416362
401,68,2013,200126757,42746318464.85971,0.004681730829393352
402,68,2014,214645705,48155340958.953064,0.004457360299514045
403,68,2015,286813174,64754989250.42328,0.004429205800510965
404,68,2016,325584473,74295905737.18994,0.004382266691137783
405,68,2017,384420523,75726462761.13306,0.005076435752883278
406,68,2018,431196834,82304225402.8685,0.005239060715161919
407,68,2019,421259201,89285287098.72235,0.004718125625045205
408,69,2012,185441343,36639897606.5759,0.005061186169000597
409,69,2013,217099293,40266223418.960266,0.005391598083116329
410,69,2014,249543218,41445150807.77756,0.006021047411731723
411,69,2015,267890390,46957512199.35907,0.005704952785033967
412,69,2016,337573840,62415572990.351074,0.005408487398684717
413,69,2017,361217412,70258023920.12878,0.005141297631863966
414,69,2018,557336528,74236392440.64954,0.007507591757581419
415,69,2019,392457852,77646420798.3591,0.005054422959419835
416,70,2012,157299422,29346088320.074097,0.00536014954648657
417,70,2013,189325318,35526712745.1319,0.0053290975542324166
418,70,2014,203162225,38783562983.94934,0.005238358968826023
419,70,2015,281788979,40543089058.94214,0.00695035789183037
420,70,2016,295792745,45003535020.80554,0.0065726557894452585
421,70,2017,277571193,58708556385.430176,0.00472795125769581
422,70,2018,345868548,68261717384.687805,0.005066801147865404
423,70,2019,397676112,69617169741.52118,0.005712328057525404
424,71,2012,149055902,24373489660.0748,0.006115492860431975
425,71,2013,253129729,28261175637.059387,0.008956801098821467
426,71,2014,207621881,34320446786.578613,0.006049509853152402
427,71,2015,246863590,37822805303.4245,0.006526845061322006
428,71,2016,236084155,38889264645.61609,0.006070676757489507
429,71,2017,278356333,42423022181.30542,0.006561445146702996
430,71,2018,350839770,57620040024.09042,0.006088849814288866
431,71,2019,400658831,64614639301.54486,0.006200743907741983
432,72,2012,141152794,20586020033.753204,0.00685673062440255
433,72,2013,156000313,23368506501.155853,0.006675664659711304
434,72,2014,176421161,27348159051.760406,0.006450933705120591
435,72,2015,275874289,33410598091.29236,0.008257089210022247
436,72,2016,246863083,36340212926.72327,0.006793110527386753
437,72,2017,261616415,36847230105.29578,0.007100029344197566
438,72,2018,263557898,41436685178.24988,0.006360496667777412
439,72,2019,394825119,54380486511.18555,0.007260419027674352
440,73,2012,206850806,18486903156.534424,0.01118904579358312
441,73,2013,140252928,19621548213.878082,0.007147903237360282
442,73,2014,168544377,22515971637.95703,0.007485547579739834
443,73,2015,239297536,26507343916.492188,0.009027593890729853
444,73,2016,249638784,31994526426.769775,0.007802546619071929
445,73,2017,248878942,34103099094.33557,0.0072978394518209075
446,73,2018,323999096,36180833280.30429,0.008954992647346652
447,73,2019,319977669,39217514162.7106,0.0081590502567918
448,74,2012,141518132,16731598575.4234,0.008458135746088972
449,74,2013,156191517,17329856822.090332,0.009012856747950913
450,74,2014,152085778,18932420004.610382,0.008033087051891116
451,74,2015,189507434,21995352890.76187,0.008615794206220434
452,74,2016,233295455,25378197365.92798,0.009192751227997604
453,74,2017,294036226,30214454717.324432,0.009731640989417057
454,74,2018,359056663,33632242435.685944,0.010675965591251153
455,74,2019,399652000,34051954737.090637,0.01173653621607468
456,75,2012,140827030,14501246750.698486,0.00971137395432684
457,75,2013,169187109,15739136514.342072,0.010749453049462438
458,75,2014,162203382,16701315484.864624,0.009712012335016063
459,75,2015,172409679,18259384913.592865,0.009442250098559058
460,75,2016,215427827,20791206941.477448,0.010361487315593592
461,75,2017,246737578,23670492600.64209,0.010423846354313173
462,75,2018,363208395,29727288569.332092,0.012218012892528008
463,75,2019,372141686,31546558798.437073,0.011796585750533184
464,76,2012,133555561,14750820980.561157,0.00905411035602706
465,76,2013,121146897,13712980105.374664,0.008834468953434687
466,76,2014,180300832,15250073696.872925,0.011822948241684316
467,76,2015,171821868,16038451278.53769,0.010713120925206059
468,76,2016,184277543,17412040903.3851,0.0105833396568793
469,76,2017,196332714,19515147795.39612,0.010060529187809558
470,76,2018,376003167,23530841408.58542,0.015979163705672345
471,76,2019,339738680,27882790805.39377,0.012184529244980724
472,77,2012,183599640,13146545325.609192,0.013965618757830757
473,77,2013,156222574,13819709542.096985,0.01130433121796965
474,77,2014,125398960,13370465910.104248,0.009378802567024553
475,77,2015,175373745,14727697377.984802,0.011907750444557035
476,77,2016,191387265,15300594170.039398,0.012508485806045478
477,77,2017,209084033,16391603431.083923,0.012755557067925841
478,77,2018,327190580,19568622298.322144,0.016720164302422763
479,77,2019,415113150,22034290524.52124,0.018839415298533627
480,78,2012,218310858,12643454118.193542,0.017266710185301133
481,78,2013,164655853,12366381398.782532,0.013314796599772537
